SYMBOL,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY
PIIND,3275.5,3301.0,3252.4,3285.2,67803
ASTRAZEN,8400.0,8449.5,8360.0,8425.5,4447
AKUMS,446.9,450.0,445.1,446.15,38506
PIDILITIND,1510.0,1513.6,1496.6,1509.2,222299
CUMMINSIND,4130.3,4173.0,4120.4,4141.0,465743
INDIAMART,2167.5,2179.6,2157.4,2173.1,14891
GILLETTE,8065.0,8180.0,8045.0,8103.5,6446
ACC,1751.2,1759.0,1747.5,1756.1,57721
IDFCFIRSTB,85.65,86.3,84.75,84.92,20981188
CHENNPETRO,806.95,821.4,798.05,808.7,405591
RHIM,481.95,499.6,479.25,483.0,307502
GODREJAGRO,566.25,568.55,563.0,567.5,39909
MAPMYINDIA,1686.3,1703.2,1681.8,1697.0,13150
DEVYANI,138.8,140.49,138.1,139.0,1829096
MINDACORP,595.0,604.15,594.85,599.15,84597
BEL,413.1,415.25,409.55,413.9,4345153
MFSL,1742.7,1752.2,1728.0,1734.1,556516
SUNPHARMA,1755.0,1806.6,1748.5,1762.8,1688071
CESC,170.31,172.25,169.57,171.02,358519
DEEPAKFERT,1236.6,1246.8,1231.0,1245.6,79191
FINCABLES,781.3,785.8,779.0,783.0,69653
AGARWALEYE,517.0,525.0,514.0,514.8,86087
FLUOROCHEM,3492.4,3519.5,3480.0,3496.9,11199
VEDL,625.95,629.9,621.0,622.5,6248356
CHOICEIN,842.9,851.85,838.15,842.65,180859
ENGINERSIN,205.5,207.65,204.5,205.62,510308
NTPCGREEN,93.48,94.44,93.02,94.05,1116521
DIXON,11640.0,11970.0,11480.0,11738.0,608520
ABCAPITAL,360.65,363.0,354.0,361.0,1704474
APOLLOTYRE,521.0,525.0,518.3,520.0,757663
CENTRALBK,38.4,38.75,38.22,38.44,2782172
ACMESOLAR,232.58,232.58,225.55,231.0,418217
ERIS,1550.0,1561.9,1525.0,1553.6,54601
SYRMA,752.0,757.5,744.1,751.25,209818
CONCOR,528.0,532.8,527.5,530.25,413409
FEDERALBNK,256.7,258.9,253.2,256.8,3861466
APARINDS,8182.0,8295.0,8160.0,8185.0,46779
AFCONS,377.35,379.8,374.75,377.5,158738
HINDALCO,951.05,954.6,940.0,942.55,4108531
IRCON,177.26,179.45,175.86,177.32,1987799
IOB,36.51,36.85,36.4,36.66,1880039
BHARATFORG,1475.6,1483.8,1464.1,1475.0,235031
AKZOINDIA,3180.1,3189.8,3162.9,3179.2,27390
TEJASNET,446.4,448.9,441.8,445.25,405176
NAM-INDIA,889.05,891.75,880.0,890.05,138091
NYKAA,269.95,270.0,264.5,269.0,2515291
JWL,325.1,330.95,323.25,324.5,1085830
EIDPARRY,998.4,1011.2,997.0,998.0,194850
LINDEINDIA,5958.0,6000.0,5936.0,5949.0,12777
DEEPAKNTR,1625.0,1638.6,1615.0,1625.0,39988
FORTIS,950.0,950.05,935.2,944.6,1184916
MRF,150205.0,150550.0,149550.0,150135.0,1891
J&KBANK,104.65,105.4,104.4,104.41,869122
KAJARIACER,993.1,1015.35,993.1,1002.65,64071
GODREJPROP,2128.9,2153.0,2097.9,2126.7,352701
ECLERX,4782.6,4840.0,4740.3,4799.5,15024
DABUR,523.8,527.0,518.75,520.0,1069839
HAL,4516.0,4526.7,4480.0,4512.2,210924
PAGEIND,35540.0,35590.0,35185.0,35330.0,3812
IDEA,11.59,11.67,11.53,11.58,236616076
UCOBANK,29.95,30.23,29.8,29.93,3054027
LT,4106.0,4155.0,4094.0,4136.2,618871
ICICIPRULI,688.45,695.5,686.25,687.7,386353
AMBUJACEM,563.95,565.8,560.65,562.85,3496130
NIVABUPA,74.5,74.92,74.5,74.7,84882
LICI,850.05,852.4,845.55,848.85,476154
SCHNEIDER,699.0,704.9,692.05,694.85,51303
WELCORP,796.0,809.2,786.55,787.2,536053
COALINDIA,426.95,432.3,423.65,426.35,4737572
CEATLTD,3766.1,3800.0,3735.0,3760.0,72137
ABB,5215.0,5239.0,5181.5,5216.0,25955
BLS,312.7,314.5,311.0,312.35,229663
AAVAS,1458.0,1467.0,1449.0,1460.0,38687
PFC,376.1,377.4,372.65,375.6,3397951
ATGL,571.0,572.5,568.0,569.4,206433
INDGN,524.85,526.6,519.15,521.7,100274
IRCTC,671.2,673.5,667.15,669.9,587730
AARTIIND,374.7,376.1,373.15,374.35,115919
AEGISLOG,744.0,749.0,733.6,744.7,108882
RRKABEL,1535.1,1558.0,1525.5,1538.0,53632
FACT,877.0,879.2,866.45,876.5,42381
BALKRISIND,2387.0,2396.8,2375.9,2382.1,12053
DIVISLAB,6680.0,6731.5,6618.5,6627.5,259542
AWL,230.0,233.5,228.58,230.28,858742
NUVAMA,1478.1,1492.8,1465.8,1475.0,114952
GLAND,1680.7,1707.0,1680.7,1689.2,32699
ABFRL,77.45,78.35,76.98,77.26,1450393
AXISBANK,1293.0,1299.0,1284.4,1290.4,2584813
TVSMOTOR,3850.8,3882.4,3845.5,3856.1,118507
ADANIGREEN,1019.0,1023.7,1011.4,1016.8,446740
SAMMAANCAP,149.0,149.44,148.07,148.7,2051562
RELIANCE,1510.0,1520.0,1502.2,1503.3,5393124
COROMANDEL,2304.7,2331.0,2298.1,2306.1,68664
ABLBL,120.95,121.0,119.01,119.73,462515
NESTLEIND,1312.5,1332.7,1304.2,1316.0,382035
SWANCORP,467.5,474.95,463.0,469.55,741524
BALRAMCHIN,435.75,438.4,433.75,434.4,56486
SHRIRAMFIN,996.05,1003.1,990.25,999.4,2046712
MRPL,147.99,151.16,147.25,147.7,1134619
HONAUT,34195.0,34265.0,33950.0,34065.0,790
LTFOODS,378.75,378.75,374.3,377.5,222474
EIHOTEL,355.5,356.9,352.0,355.15,60516
GLAXO,2483.3,2528.0,2467.1,2474.7,96191
GPIL,276.75,277.7,272.35,273.05,900488
INDIACEM,456.1,457.75,450.95,454.35,99566
SBILIFE,2090.0,2109.6,2080.4,2087.7,650632
RAINBOW,1307.5,1308.2,1285.1,1293.0,27621
NIACL,153.5,154.22,152.71,152.97,132186
UNIONBANK,166.5,166.5,164.13,165.08,5129859
UTIAMC,1128.0,1132.7,1117.2,1129.2,31989
NHPC,83.1,83.6,82.73,83.18,6298267
RAMCOCEM,1078.0,1081.4,1053.9,1071.5,47952
ITI,310.0,310.95,307.4,308.1,153296
MAHSEAMLES,552.15,559.65,551.85,554.05,40156
PGEL,624.7,633.75,620.3,623.75,795820
MAZDOCK,2473.0,2495.0,2467.5,2484.8,439714
COHANCE,503.8,512.95,498.2,500.0,208944
RBLBANK,320.25,320.25,311.75,318.7,3854254
JINDALSTEL,1080.0,1087.0,1067.6,1074.6,329860
ZEEL,91.66,91.73,90.9,91.2,1984630
ABREL,1668.0,1681.1,1650.0,1660.0,30448
ZYDUSLIFE,928.0,941.0,925.0,926.45,326481
MAHSCOOTER,14151.0,14173.0,14000.0,14112.0,3752
UNOMINDA,1321.0,1334.9,1308.1,1314.3,157734
KSB,752.0,758.95,735.6,746.45,81499
ULTRACEMCO,12230.0,12250.0,12125.0,12142.0,75748
ALKYLAMINE,1555.0,1568.0,1542.1,1543.0,22087
CERA,5160.0,5181.5,5132.5,5150.5,4290
LODHA,1120.0,1138.5,1105.7,1106.3,1711471
CASTROLIND,190.01,190.83,188.49,189.4,853123
CGCL,187.0,187.44,184.75,186.51,249397
TTML,48.49,48.68,48.05,48.24,895483
BDL,1531.0,1556.5,1526.5,1534.3,1483512
RAILTEL,370.7,373.35,367.75,369.05,422871
TARIL,316.1,326.45,309.6,313.75,4908907
GRAPHITE,672.55,673.5,660.5,668.95,628534
BRIGADE,891.25,904.4,885.0,886.6,237625
ARE&M,917.5,923.0,913.65,914.55,98492
BERGEPAINT,524.0,526.75,521.4,523.95,100938
HDFCLIFE,778.0,779.9,771.2,773.55,708516
ADANIENSOL,1043.3,1047.9,1028.4,1038.4,283109
RITES,241.5,243.72,240.7,241.2,271812
BEML,1846.0,1866.3,1836.3,1841.6,62781
ALOKINDS,15.9,15.98,15.85,15.86,1565759
VTL,425.0,428.45,422.6,423.15,21627
LEMONTREE,148.26,149.6,144.7,147.69,4873737
BANDHANBNK,147.6,148.35,146.1,146.8,2267345
ASHOKLEY,186.2,186.69,184.56,185.03,5351525
APLAPOLLO,1947.9,1947.9,1935.1,1936.2,112855
AUBANK,1008.0,1017.1,999.0,1002.6,892220
INOXWIND,123.25,124.95,121.72,121.82,6150628
BAJAJFINSV,2040.0,2042.0,2021.0,2032.2,349504
AFFLE,1814.1,1825.0,1798.0,1803.0,48885
JSWINFRA,275.95,277.3,273.3,276.25,304420
INDUSTOWER,433.0,433.5,428.0,429.55,2571388
BOSCHLTD,38700.0,38950.0,38105.0,38720.0,19224
UNITDSPR,1376.6,1380.6,1364.9,1368.0,421622
BPCL,371.55,373.4,367.45,368.5,1520639
